Region,Category,Crafting Process,Base Material Price,Dimensions,Hours of Labor,Transport Distance,Price
North India,Toys,Handwoven,1473.99,9381.06,21.5,888.8,2047.13
South India,Painting & Decorative Arts,Handwoven,1257.39,6950.08,38.4,227.7,2020.44
Central India,Terracotta Pottery,Handmade,413.95,1642.93,32.4,929.4,826.95
South India,Bamboo Products,Handmade,100.09,2510.08,68.1,717.7,988.66
West India,Terracotta Pottery,Handwoven,604.86,8437.72,29.7,762.9,1049.84
West India,Toys,Hand-Painted,913.92,2172.13,58.1,202.3,1812.03
West India,Terracotta Pottery,Handwoven,1253.36,817.97,7.5,235.0,1568.54
West India,Textiles,Handwoven,1707.42,7062.47,19.9,521.7,2296.81
Central India,Bamboo Products,Handwoven,432.68,4085.01,41.3,172.9,1059.41
East India,Terracotta Pottery,Handmade,294.82,9208.4,93.8,306.1,1418.03
North India,Toys,Hand-Painted,1928.79,6537.53,38.3,322.1,2740.15
West India,Toys,Handwoven,260.69,995.15,66.7,160.5,1122.48
South India,Terracotta Pottery,Handmade,983.06,9483.78,26.3,206.0,1615.35
West India,Toys,Machine-Assisted,1191.85,2659.72,13.6,788.8,1284.69
South India,Painting & Decorative Arts,Machine-Assisted,1105.68,3438.4,6.8,168.0,1275.69
South India,Painting & Decorative Arts,Handwoven,217.76,4082.38,31.2,29.4,735.93
West India,Painting & Decorative Arts,Machine-Assisted,161.2,607.12,16.6,629.7,322.33
Central India,Textiles,Hand-Painted,255.69,5015.5,18.2,976.0,510.32
South India,Terracotta Pottery,Machine-Assisted,1191.9,1320.85,76.3,331.9,1920.3
South India,Textiles,Machine-Assisted,1111.47,4069.61,2.6,119.5,1134.06
West India,Toys,Hand-Painted,505.79,3572.03,56.2,570.8,1211.01
South India,Textiles,Handwoven,1293.66,7751.12,38.6,906.4,2011.78
South India,Toys,Handwoven,1649.13,8051.39,51.1,784.3,2667.0
West India,Toys,Hand-Painted,131.08,1618.79,56.7,622.9,807.14
West India,Bamboo Products,Hand-Painted,1021.35,3728.86,32.0,315.7,1597.58
North India,Painting & Decorative Arts,Hand-Painted,1394.16,3796.2,30.2,542.3,1950.33
Central India,Toys,Machine-Assisted,542.01,1598.96,73.6,92.2,1296.71
Central India,Bamboo Products,Hand-Painted,650.15,8004.69,87.3,679.3,1841.0
South India,Painting & Decorative Arts,Handmade,1246.59,7101.56,20.1,725.4,1740.29
Central India,Toys,Machine-Assisted,1800.97,1984.78,10.7,965.1,1897.13
South India,Toys,Handwoven,1629.35,3730.55,89.9,261.1,3019.38
North India,Textiles,Handwoven,1187.1,1147.47,35.6,19.4,1876.82
West India,Textiles,Handwoven,1473.93,6319.25,55.6,546.1,2434.48
West India,Painting & Decorative Arts,Machine-Assisted,761.4,1301.58,36.6,707.1,1143.15
West India,Toys,Handmade,1299.88,9860.75,13.5,790.6,1732.61
Central India,Terracotta Pottery,Hand-Painted,959.05,7828.75,59.3,194.5,1918.63
North India,Textiles,Hand-Painted,420.38,3963.36,53.0,262.5,1174.31
Central India,Painting & Decorative Arts,Handwoven,1418.39,5827.78,21.1,513.1,1964.91
Central India,Toys,Handwoven,1135.11,9122.28,45.7,331.3,1986.45
North India,Toys,Machine-Assisted,749.31,5585.58,79.9,860.7,1569.32
North India,Terracotta Pottery,Handmade,1827.11,1827.54,59.5,474.3,2971.78
North India,Painting & Decorative Arts,Hand-Painted,90.82,3849.16,10.6,799.8,266.53
North India,Toys,Machine-Assisted,665.76,8447.13,55.3,581.0,1126.66
West India,Textiles,Hand-Painted,160.92,6477.71,70.6,773.3,1105.55
East India,Terracotta Pottery,Handwoven,1544.73,6542.17,79.5,333.3,2814.43
East India,Painting & Decorative Arts,Hand-Painted,1419.11,8681.53,63.3,831.6,2459.93
North India,Terracotta Pottery,Handmade,696.14,8950.33,16.1,275.3,1042.64
East India,Textiles,Handmade,1367.54,9205.95,71.3,546.6,2479.4
East India,Painting & Decorative Arts,Handwoven,822.08,1039.01,68.1,214.8,1815.05
North India,Terracotta Pottery,Handmade,1524.69,5486.85,3.4,476.1,1840.83
East India,Bamboo Products,Handmade,935.66,7431.04,41.8,318.9,1688.11
Central India,Textiles,Machine-Assisted,853.95,7593.58,34.0,267.4,1188.27
South India,Textiles,Hand-Painted,1872.72,6106.49,67.3,967.0,3035.73
South India,Textiles,Handwoven,539.21,1751.19,22.4,160.9,869.61
North India,Bamboo Products,Handwoven,284.87,7994.46,59.5,787.5,1069.28
West India,Bamboo Products,Handwoven,1189.86,7229.1,91.4,984.2,2533.99
North India,Toys,Handwoven,1940.18,952.74,80.0,20.9,3307.64
West India,Terracotta Pottery,Handwoven,786.79,4691.72,92.2,699.3,1999.19
South India,Toys,Handmade,170.97,1822.38,97.9,253.7,1299.9
North India,Terracotta Pottery,Machine-Assisted,711.65,3441.02,2.1,41.4,763.93
Central India,Bamboo Products,Handwoven,1036.57,279.0,62.7,403.5,2070.52
East India,Bamboo Products,Machine-Assisted,365.75,4063.27,41.9,935.3,733.43
West India,Toys,Machine-Assisted,1333.3,5543.78,86.1,12.8,2273.77
East India,Painting & Decorative Arts,Handmade,1995.61,6233.87,25.9,588.3,2719.73
East India,Toys,Handwoven,930.89,6668.55,98.1,501.9,2293.91
North India,Terracotta Pottery,Handmade,741.72,8379.28,61.8,873.5,1611.79
East India,Toys,Handwoven,831.37,2233.08,79.6,84.9,1883.62
Central India,Textiles,Handmade,274.54,1292.77,9.5,681.8,492.83
East India,Terracotta Pottery,Machine-Assisted,1772.38,8530.22,19.2,680.4,1925.6
North India,Terracotta Pottery,Handwoven,858.91,1650.47,76.1,669.4,1904.9
Central India,Painting & Decorative Arts,Hand-Painted,805.19,9750.12,3.2,942.4,1054.22
South India,Bamboo Products,Machine-Assisted,1336.4,8441.13,81.9,823.3,2061.25
East India,Terracotta Pottery,Hand-Painted,911.97,5058.68,2.4,42.9,1046.98
North India,Bamboo Products,Machine-Assisted,1314.06,9816.07,66.1,471.6,1974.15
South India,Toys,Handmade,169.82,1064.03,37.1,398.6,663.65
South India,Textiles,Handwoven,1636.76,3100.35,61.5,310.8,2726.35
West India,Painting & Decorative Arts,Machine-Assisted,1883.98,6418.42,69.9,451.9,2567.89
Central India,Bamboo Products,Handmade,1315.09,3565.07,34.9,384.8,2123.43
East India,Terracotta Pottery,Handwoven,1911.4,9290.89,11.7,432.9,2422.69
North India,Bamboo Products,Handwoven,345.29,749.7,7.9,979.3,497.61
West India,Terracotta Pottery,Machine-Assisted,980.96,5539.18,59.3,89.5,1534.11
Central India,Bamboo Products,Handwoven,1223.52,5949.58,52.5,922.3,2104.42
West India,Terracotta Pottery,Machine-Assisted,1184.39,6562.01,74.5,480.8,1960.14
Central India,Toys,Handwoven,832.85,2631.1,51.5,624.1,1677.6
Central India,Terracotta Pottery,Hand-Painted,709.26,3709.21,42.8,830.4,1290.25
East India,Terracotta Pottery,Handmade,297.31,8452.44,40.4,361.1,829.27
Central India,Textiles,Hand-Painted,813.9,2029.93,3.6,431.0,1042.22
West India,Terracotta Pottery,Machine-Assisted,367.19,8285.99,34.2,410.1,738.54
Central India,Textiles,Hand-Painted,1482.01,5670.29,97.6,375.4,2949.94
East India,Painting & Decorative Arts,Machine-Assisted,457.22,7645.66,87.5,925.6,1359.34
East India,Textiles,Handwoven,164.2,7164.71,33.6,829.1,559.79
West India,Toys,Handwoven,1127.11,2154.36,59.2,109.9,2140.83
South India,Textiles,Machine-Assisted,1210.7,5731.25,84.9,109.0,2109.33
South India,Painting & Decorative Arts,Hand-Painted,1750.23,8690.46,44.7,428.4,2569.43
Central India,Toys,Handwoven,1175.11,4377.95,2.8,99.6,1389.98
North India,Bamboo Products,Handmade,723.69,9669.25,8.4,619.5,916.88
Central India,Bamboo Products,Handwoven,1615.87,4576.93,51.5,144.5,2590.94
West India,Textiles,Handmade,1103.54,1513.58,97.0,522.9,2424.01
West India,Textiles,Hand-Painted,204.6,3955.4,69.6,8.2,1064.17
West India,Painting & Decorative Arts,Handmade,1153.41,9521.85,8.0,317.3,1502.83
West India,Painting & Decorative Arts,Handmade,1820.64,3265.24,19.7,677.5,2417.86
West India,Terracotta Pottery,Handmade,822.81,8694.17,77.4,484.6,1929.12
East India,Painting & Decorative Arts,Handmade,627.84,8824.38,84.3,978.3,1711.72
South India,Terracotta Pottery,Handwoven,329.77,3566.85,62.2,874.2,1171.87
West India,Toys,Handmade,345.32,924.25,64.8,359.7,1161.32
North India,Textiles,Handwoven,893.9,7273.12,3.8,46.4,1102.05
North India,Toys,Handmade,1211.58,3183.97,83.0,845.8,2461.78
North India,Painting & Decorative Arts,Machine-Assisted,207.2,7850.94,79.0,911.3,1002.35
North India,Toys,Hand-Painted,1882.16,4482.28,26.6,820.8,2578.99
East India,Toys,Handmade,1522.51,4904.14,71.2,128.8,2643.88
North India,Toys,Machine-Assisted,1193.92,7801.3,22.3,997.9,1401.94
West India,Painting & Decorative Arts,Handmade,1665.46,3885.4,5.0,259.3,2058.66
Central India,Toys,Handmade,206.36,4486.96,20.9,724.5,429.68
North India,Terracotta Pottery,Handmade,979.84,3824.29,18.7,908.1,1377.08
East India,Painting & Decorative Arts,Machine-Assisted,1278.68,3736.67,34.4,236.5,1642.06
East India,Toys,Hand-Painted,1665.87,5306.87,42.4,908.4,2443.97
North India,Painting & Decorative Arts,Machine-Assisted,1577.77,8107.11,51.3,310.2,2148.6
Central India,Bamboo Products,Hand-Painted,590.29,3681.51,48.2,976.4,1350.23
North India,Terracotta Pottery,Handmade,1884.72,5290.12,27.8,282.0,2533.01
East India,Toys,Handwoven,292.47,6740.2,3.9,953.5,465.64
South India,Bamboo Products,Handmade,1756.51,2767.45,60.9,54.5,2831.43
West India,Bamboo Products,Hand-Painted,1943.33,2847.48,40.2,709.6,2835.32
East India,Painting & Decorative Arts,Machine-Assisted,395.45,9340.79,30.6,532.6,676.62
North India,Bamboo Products,Handmade,1458.03,7262.99,86.8,478.4,2837.39
West India,Terracotta Pottery,Machine-Assisted,128.56,5814.15,74.9,224.3,897.86
North India,Terracotta Pottery,Machine-Assisted,840.57,6512.43,85.9,705.9,1658.86
North India,Textiles,Machine-Assisted,1056.75,390.06,50.0,191.6,1498.49
South India,Terracotta Pottery,Handmade,1182.26,6219.22,14.0,553.3,1513.7
West India,Bamboo Products,Machine-Assisted,1875.08,5144.14,69.9,254.0,2583.48
West India,Terracotta Pottery,Machine-Assisted,1360.89,5502.92,21.4,955.7,1603.51
South India,Painting & Decorative Arts,Handmade,988.49,3658.3,44.7,29.6,1755.14
East India,Textiles,Machine-Assisted,1628.87,906.59,7.4,200.5,1696.97
North India,Bamboo Products,Handmade,1903.54,2014.06,82.7,243.1,3218.8
Central India,Textiles,Hand-Painted,93.03,9512.37,13.5,414.7,239.53
North India,Bamboo Products,Hand-Painted,1965.92,4146.13,90.4,233.5,3501.52
North India,Painting & Decorative Arts,Hand-Painted,217.96,4720.16,86.6,491.9,1276.52
East India,Textiles,Machine-Assisted,1638.05,621.83,47.0,872.6,2115.22
North India,Toys,Handwoven,596.65,471.91,74.7,712.4,1558.6
South India,Bamboo Products,Handwoven,307.75,7200.1,62.3,580.4,1133.73
South India,Toys,Machine-Assisted,907.72,5427.14,80.5,89.9,1689.84
West India,Textiles,Handwoven,1305.72,5136.19,43.7,694.3,2143.6
Central India,Toys,Handmade,792.86,2506.93,78.8,167.2,1935.71
North India,Toys,Handwoven,156.4,7473.03,46.8,786.6,724.49
North India,Textiles,Machine-Assisted,1218.95,1765.54,94.2,250.8,2154.62
East India,Painting & Decorative Arts,Machine-Assisted,1809.69,1980.35,49.2,417.6,2274.13
South India,Toys,Handmade,797.27,4661.05,46.8,351.1,1447.35
Central India,Toys,Hand-Painted,471.85,2934.17,78.7,859.0,1467.75
West India,Painting & Decorative Arts,Machine-Assisted,913.03,2549.88,82.3,127.4,1745.94
South India,Toys,Handmade,144.31,6487.85,55.9,566.1,860.23
West India,Toys,Handwoven,1649.95,6544.62,18.8,142.9,2212.97
East India,Toys,Handwoven,1661.36,8262.72,47.3,705.1,2546.15
East India,Terracotta Pottery,Handmade,1196.6,4235.31,96.8,905.2,2644.17
North India,Painting & Decorative Arts,Handmade,738.55,823.54,75.5,435.2,1795.44
Central India,Toys,Machine-Assisted,1609.58,2809.3,81.3,488.6,2457.74
West India,Painting & Decorative Arts,Handwoven,1131.64,9802.05,4.2,927.5,1319.68
South India,Bamboo Products,Handmade,1660.57,6002.96,47.3,521.5,2364.16
East India,Bamboo Products,Handwoven,1281.34,7126.4,65.0,488.1,2331.8
North India,Toys,Handmade,1579.59,172.84,83.2,578.8,2822.67
North India,Painting & Decorative Arts,Handwoven,1217.2,5230.24,5.9,689.5,1520.82
West India,Painting & Decorative Arts,Hand-Painted,857.58,471.53,85.4,107.8,2038.79
East India,Painting & Decorative Arts,Machine-Assisted,1917.99,5735.38,55.3,821.3,2550.36
Central India,Terracotta Pottery,Handwoven,1105.17,9215.63,20.5,436.1,1592.2
East India,Bamboo Products,Hand-Painted,1229.92,9687.35,32.4,73.3,1873.0
West India,Painting & Decorative Arts,Handwoven,479.95,5451.47,28.9,786.4,964.59
West India,Painting & Decorative Arts,Handwoven,1270.02,4636.23,53.6,377.6,2185.65
East India,Terracotta Pottery,Hand-Painted,1164.63,9455.67,6.1,101.3,1447.87
West India,Terracotta Pottery,Handwoven,410.43,6768.74,16.7,634.1,746.49
East India,Painting & Decorative Arts,Handwoven,166.19,742.5,81.5,880.3,1121.94
South India,Textiles,Machine-Assisted,1228.5,4710.68,14.1,887.9,1385.66
East India,Painting & Decorative Arts,Hand-Painted,1539.2,2478.43,24.1,957.7,2058.86
East India,Painting & Decorative Arts,Hand-Painted,1070.63,4751.06,45.9,867.8,1845.75
West India,Terracotta Pottery,Handmade,492.21,4609.11,52.2,3.1,1226.7
West India,Terracotta Pottery,Handwoven,1349.72,5863.23,76.6,380.9,2622.69
North India,Painting & Decorative Arts,Machine-Assisted,206.21,3632.03,45.3,818.7,580.96
North India,Painting & Decorative Arts,Handwoven,911.58,1726.28,79.2,366.9,2014.25
South India,Painting & Decorative Arts,Handwoven,368.57,5086.82,62.2,601.9,1229.82
North India,Terracotta Pottery,Handmade,409.7,8319.01,12.2,606.7,654.81
East India,Painting & Decorative Arts,Handwoven,444.47,6673.72,16.5,365.7,740.38
West India,Painting & Decorative Arts,Machine-Assisted,804.08,3449.84,44.3,904.6,1199.27
North India,Toys,Machine-Assisted,149.74,9361.68,40.3,503.7,523.2
North India,Textiles,Handmade,825.7,9130.85,74.6,465.3,1948.29
South India,Bamboo Products,Handwoven,1047.83,2172.55,58.5,997.5,1956.82
South India,Textiles,Machine-Assisted,992.42,490.23,39.4,494.0,1405.19
East India,Toys,Handwoven,796.43,7438.96,17.9,179.2,1164.76
West India,Bamboo Products,Handwoven,1686.34,8293.34,23.5,513.6,2246.45
South India,Painting & Decorative Arts,Handwoven,333.39,9681.86,58.0,814.2,1142.76
North India,Toys,Handmade,1036.11,8909.38,42.9,777.1,1783.29
West India,Painting & Decorative Arts,Handwoven,170.98,6045.29,52.0,788.8,944.46
West India,Terracotta Pottery,Machine-Assisted,188.75,5347.52,17.9,708.3,316.97
North India,Toys,Handwoven,1169.04,375.63,66.6,255.0,2243.18
South India,Terracotta Pottery,Machine-Assisted,1153.74,2541.9,85.4,862.2,1942.16
North India,Toys,Handwoven,1762.17,4650.19,26.5,893.6,2440.47
West India,Toys,Machine-Assisted,1137.85,6322.19,49.7,195.0,1683.68
Central India,Terracotta Pottery,Machine-Assisted,1921.59,5616.79,97.6,131.3,2793.98
Central India,Bamboo Products,Handwoven,144.95,7452.1,34.0,975.6,571.69
East India,Textiles,Handwoven,241.11,2869.69,59.9,868.5,979.97
North India,Painting & Decorative Arts,Machine-Assisted,135.93,5693.03,9.9,893.3,199.83
North India,Toys,Hand-Painted,411.29,972.61,61.0,886.5,1244.81
East India,Painting & Decorative Arts,Handmade,1105.48,4195.29,9.9,542.1,1501.41
East India,Terracotta Pottery,Hand-Painted,1308.87,7526.59,96.0,646.8,2715.98
East India,Painting & Decorative Arts,Hand-Painted,138.89,6964.67,71.9,545.8,1039.74
West India,Terracotta Pottery,Handwoven,1894.64,9907.36,79.0,52.2,3227.28
North India,Painting & Decorative Arts,Handmade,1692.22,2851.12,70.7,745.8,2879.15
West India,Textiles,Hand-Painted,628.39,5032.07,59.4,505.8,1412.4
East India,Textiles,Handwoven,200.52,3362.35,45.5,648.1,842.05
North India,Textiles,Hand-Painted,381.28,4461.97,86.0,503.1,1504.3
West India,Textiles,Hand-Painted,297.54,8583.81,95.7,492.3,1525.19
West India,Textiles,Handwoven,290.4,6873.67,50.4,172.6,912.95
East India,Textiles,Handwoven,1061.2,8836.17,93.2,279.4,2368.88
North India,Terracotta Pottery,Handwoven,529.4,2114.76,58.7,159.7,1330.87
East India,Toys,Handmade,748.37,8746.28,54.3,196.5,1472.94
North India,Painting & Decorative Arts,Hand-Painted,1979.54,691.65,46.0,973.0,2843.05
Central India,Textiles,Handwoven,1384.41,8897.13,21.7,154.0,1891.65
South India,Terracotta Pottery,Machine-Assisted,1900.51,3357.83,1.4,270.0,1940.64
South India,Terracotta Pottery,Hand-Painted,327.99,3214.42,24.9,591.0,659.73
South India,Terracotta Pottery,Machine-Assisted,795.17,5169.68,51.5,610.6,1259.23
East India,Toys,Handmade,1131.73,9412.83,38.6,154.8,1780.54
Central India,Painting & Decorative Arts,Handwoven,199.68,573.04,45.4,793.9,761.65
North India,Toys,Machine-Assisted,58.17,3587.09,98.1,785.4,1021.48
West India,Bamboo Products,Handmade,1357.35,8580.06,35.7,238.1,2165.5
North India,Terracotta Pottery,Handwoven,1301.55,4020.94,45.8,289.4,2164.19
West India,Bamboo Products,Machine-Assisted,851.04,2071.65,14.2,938.0,1044.28
North India,Textiles,Machine-Assisted,1004.81,4305.46,5.7,825.8,1120.24
Central India,Textiles,Handmade,860.11,3916.97,77.8,698.1,1915.79
West India,Toys,Handwoven,96.81,9162.62,57.5,83.2,745.05
East India,Painting & Decorative Arts,Handwoven,703.97,7643.15,76.3,418.8,1705.02
North India,Bamboo Products,Machine-Assisted,395.31,5100.64,15.8,559.7,620.04
North India,Painting & Decorative Arts,Machine-Assisted,241.93,9884.87,57.6,188.2,790.57
West India,Toys,Machine-Assisted,1915.6,4706.25,26.1,448.8,2114.03
East India,Textiles,Handwoven,1218.75,676.55,23.6,601.4,1724.15
East India,Painting & Decorative Arts,Handmade,1470.88,2696.52,2.1,328.0,1778.33
Central India,Painting & Decorative Arts,Handmade,664.96,4417.1,13.9,781.2,978.17
East India,Textiles,Handwoven,816.64,1653.34,31.6,840.6,1371.72
East India,Bamboo Products,Hand-Painted,512.0,9480.89,12.6,324.3,724.19
East India,Textiles,Handmade,239.08,7691.8,98.6,838.8,1504.38
South India,Painting & Decorative Arts,Machine-Assisted,399.11,2756.04,31.6,104.5,683.15
Central India,Bamboo Products,Hand-Painted,1605.15,5948.96,13.9,837.9,2085.17
North India,Bamboo Products,Hand-Painted,1371.21,7242.35,20.7,153.6,1928.19
West India,Textiles,Handmade,1116.51,9418.66,59.2,83.8,2018.12
North India,Painting & Decorative Arts,Hand-Painted,976.43,8828.19,7.3,642.1,1230.85
Central India,Toys,Hand-Painted,1848.75,5200.4,86.4,472.5,3284.88
West India,Painting & Decorative Arts,Handmade,191.83,7769.06,96.2,908.0,1341.71
Central India,Terracotta Pottery,Handmade,597.17,5665.23,25.4,363.8,1002.16
East India,Toys,Hand-Painted,732.38,5571.77,45.6,287.9,1453.84
West India,Bamboo Products,Machine-Assisted,1575.73,1235.95,3.2,501.2,1710.43
East India,Toys,Handwoven,1985.4,1348.76,64.4,456.5,3185.55
North India,Bamboo Products,Hand-Painted,519.31,5342.38,42.0,345.1,1150.8
North India,Bamboo Products,Hand-Painted,1754.9,2761.73,27.7,694.0,2464.82
West India,Toys,Machine-Assisted,1669.71,308.27,21.5,759.8,1831.05
West India,Bamboo Products,Hand-Painted,488.08,7256.11,65.7,853.1,1379.88
Central India,Bamboo Products,Hand-Painted,828.7,421.62,42.2,972.9,1499.35
Central India,Terracotta Pottery,Handwoven,848.86,5993.24,18.8,267.4,1260.31
East India,Painting & Decorative Arts,Handwoven,1957.53,5438.02,69.2,716.4,3185.26
West India,Painting & Decorative Arts,Handwoven,402.74,9691.27,56.9,394.9,1185.07
North India,Terracotta Pottery,Handmade,1608.36,4893.71,86.0,677.4,2946.46
Central India,Toys,Handmade,701.68,729.65,12.6,476.5,996.15
Central India,Textiles,Handwoven,1475.2,5561.71,78.8,993.8,2654.45
North India,Textiles,Handwoven,869.02,8426.85,67.7,729.2,1839.23
Central India,Textiles,Handmade,1177.8,9968.81,12.4,952.5,1631.7
East India,Terracotta Pottery,Machine-Assisted,1673.59,4360.4,69.8,835.1,2387.53
West India,Terracotta Pottery,Hand-Painted,1618.12,3270.96,44.7,903.0,2477.1
North India,Bamboo Products,Hand-Painted,1739.53,9075.87,94.6,814.6,3317.44
West India,Textiles,Handwoven,166.25,1993.3,15.0,459.7,311.46
Central India,Toys,Machine-Assisted,1399.5,6192.75,64.6,252.5,1990.03
Central India,Toys,Handmade,322.98,4116.57,38.8,370.9,938.81
North India,Textiles,Handwoven,860.85,506.72,95.7,21.2,2183.72
East India,Textiles,Machine-Assisted,1119.75,3538.16,33.7,524.5,1444.62
South India,Textiles,Machine-Assisted,835.34,2725.76,96.3,505.6,1738.38
North India,Terracotta Pottery,Machine-Assisted,1063.24,6892.3,90.2,525.7,1987.62
South India,Terracotta Pottery,Handmade,1993.23,9493.03,27.8,974.1,2752.7
South India,Terracotta Pottery,Handmade,313.67,2753.67,80.6,911.5,1288.88
East India,Painting & Decorative Arts,Hand-Painted,1367.14,8133.51,99.6,162.6,2828.75
South India,Toys,Hand-Painted,822.2,648.06,26.0,369.5,1281.86
South India,Toys,Machine-Assisted,309.37,5427.4,44.2,424.5,764.17
East India,Bamboo Products,Machine-Assisted,359.54,798.45,52.5,361.2,828.58
South India,Terracotta Pottery,Handmade,1901.08,9346.93,30.2,798.7,2706.29
South India,Painting & Decorative Arts,Hand-Painted,1765.22,7686.88,2.5,524.5,2194.06
South India,Painting & Decorative Arts,Machine-Assisted,1818.73,6613.7,22.8,572.5,2028.57
North India,Toys,Hand-Painted,1983.49,8256.57,28.9,853.2,2716.17
North India,Terracotta Pottery,Hand-Painted,456.22,6510.45,44.9,806.1,1079.44
North India,Bamboo Products,Machine-Assisted,743.11,9692.55,17.9,133.1,883.19
East India,Terracotta Pottery,Handmade,1354.98,7168.18,87.5,714.2,2653.8
Central India,Textiles,Machine-Assisted,993.41,9254.12,70.8,436.0,1687.9
South India,Terracotta Pottery,Machine-Assisted,865.86,5219.61,9.4,295.4,1040.5
South India,Textiles,Hand-Painted,747.73,1258.94,65.4,51.0,1729.41
East India,Textiles,Machine-Assisted,1207.87,5328.96,65.7,487.8,1911.6
South India,Bamboo Products,Handmade,1172.41,1356.04,95.7,356.1,2573.79
North India,Toys,Machine-Assisted,364.84,5965.69,1.3,252.3,321.97
Central India,Terracotta Pottery,Handmade,969.89,4876.68,25.5,695.0,1467.79
West India,Textiles,Handmade,1129.27,6263.5,92.9,769.7,2518.45
South India,Terracotta Pottery,Hand-Painted,1162.06,199.47,93.3,245.5,2451.16
North India,Toys,Handwoven,459.71,2028.92,72.3,50.4,1451.08
West India,Toys,Handwoven,1497.43,4964.17,76.8,848.9,2834.65
Central India,Painting & Decorative Arts,Hand-Painted,99.14,9509.99,10.1,10.9,293.26
West India,Toys,Machine-Assisted,741.92,3897.73,51.9,937.2,1331.62
North India,Bamboo Products,Hand-Painted,1571.41,4301.28,23.9,628.0,2183.41
West India,Textiles,Handmade,1149.59,7175.49,18.9,322.5,1654.7
East India,Painting & Decorative Arts,Handwoven,559.27,6077.55,81.2,247.2,1609.63
West India,Bamboo Products,Hand-Painted,1405.16,3059.37,14.4,10.0,1898.79
South India,Terracotta Pottery,Machine-Assisted,1156.41,4167.08,47.4,236.2,1663.13
South India,Textiles,Hand-Painted,1602.68,2255.23,93.9,138.6,3064.51
